"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId","invocationId","instanceId","concurrency"
"2025-11-20 13:07:37",1763644057977,"pms-git-dev-jorge-arean-devs-projects.vercel.app/","GET","",-1,"8l6b6-1763644057743-b696ea258d85","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","error","preview","dev","","lambda","/","pms-git-dev-jorge-arean-devs-projects.vercel.app","pms-git-dev-jorge-arean-devs-projects.vercel.app","dpl_AFcZmqL2Te7S9apkkVWZa4k31ALY",-1,"iad1",-1,-1,"Error: Your project's URL and Key are required to create a Supabase client!

Check your Supabase project's API settings to find these values

https://supabase.com/dashboard/project/_/settings/api
    at <unknown> (https://supabase.com/dashboard/project/_/settings/api)
    at <unknown> (.next/server/chunks/ssr/_c0bdad64._.js:37:47511)
    at ci (.next/server/chunks/ssr/_c0bdad64._.js:41:5028)
    at async g (.next/server/chunks/ssr/[root-of-the-server]__bb31690c._.js:1:11917) {
  digest: '1022167162'
}","prj_9DLDDpkWSRdSJMazbYbyO2dqEsX1","","","01KAGP1AANA2N10JXBX77NA1GJ","",-1
"2025-11-20 13:07:37",1763644057941,"pms-git-dev-jorge-arean-devs-projects.vercel.app/","GET","",500,"8l6b6-1763644057743-b696ea258d85","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","error","preview","dev","","lambda","/","pms-git-dev-jorge-arean-devs-projects.vercel.app","pms-git-dev-jorge-arean-devs-projects.vercel.app","dpl_AFcZmqL2Te7S9apkkVWZa4k31ALY",40,"iad1",118,2048,"","prj_9DLDDpkWSRdSJMazbYbyO2dqEsX1","","","01KAGP1AANA2N10JXBX77NA1GJ","Mdf3pv5MDwST",1
"2025-11-20 13:07:37",1763644057803,"pms-git-dev-jorge-arean-devs-projects.vercel.app/","GET","",200,"8l6b6-1763644057743-b696ea258d85","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","preview","dev","","edge-middleware","/middleware","pms-git-dev-jorge-arean-devs-projects.vercel.app","pms-git-dev-jorge-arean-devs-projects.vercel.app","dpl_AFcZmqL2Te7S9apkkVWZa4k31ALY",-1,"iad1",-1,-1,"","prj_9DLDDpkWSRdSJMazbYbyO2dqEsX1","","","01KAGP1A6BP4HTX9DSWC20PTJD","KHJxTRmXkjaf",-1
"2025-11-20 13:07:37",1763644057581,"pms-git-dev-jorge-arean-devs-projects.vercel.app/","GET","__vercel_toolbar_code=CWH9CoLmAnA1-q8",200,"8l6b6-1763644057492-25047aa6ebc6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","preview","dev","","edge-middleware","/middleware","pms-git-dev-jorge-arean-devs-projects.vercel.app","pms-git-dev-jorge-arean-devs-projects.vercel.app","dpl_AFcZmqL2Te7S9apkkVWZa4k31ALY",-1,"iad1",-1,-1,"","prj_9DLDDpkWSRdSJMazbYbyO2dqEsX1","","","01KAGP19ZDNM4SCK0DQQGPBCVY","KHJxTRmXkjaf",-1
"2025-11-20 13:07:23",1763644043159,"pms-5ompx1ego-jorge-arean-devs-projects.vercel.app/","GET","",-1,"kwtmb-1763644042858-645fccd2bdf6","vercel-favicon/1.0","error","preview","dev","","lambda","/","pms-5ompx1ego-jorge-arean-devs-projects.vercel.app","pms-5ompx1ego-jorge-arean-devs-projects.vercel.app","dpl_AFcZmqL2Te7S9apkkVWZa4k31ALY",-1,"iad1",-1,-1,"Error: Your project's URL and Key are required to create a Supabase client!

Check your Supabase project's API settings to find these values

https://supabase.com/dashboard/project/_/settings/api
    at <unknown> (https://supabase.com/dashboard/project/_/settings/api)
    at <unknown> (.next/server/chunks/ssr/_c0bdad64._.js:37:47511)
    at ci (.next/server/chunks/ssr/_c0bdad64._.js:41:5028)
    at async g (.next/server/chunks/ssr/[root-of-the-server]__bb31690c._.js:1:11917) {
  digest: '1022167162'
}","prj_9DLDDpkWSRdSJMazbYbyO2dqEsX1","","","01KAGP0VVRAVQCJAWZFVDQY9ZN","",-1
"2025-11-20 13:07:23",1763644043128,"pms-5ompx1ego-jorge-arean-devs-projects.vercel.app/","GET","",500,"kwtmb-1763644042858-645fccd2bdf6","vercel-favicon/1.0","error","preview","dev","","lambda","/","pms-5ompx1ego-jorge-arean-devs-projects.vercel.app","pms-5ompx1ego-jorge-arean-devs-projects.vercel.app","dpl_AFcZmqL2Te7S9apkkVWZa4k31ALY",71,"iad1",116,2048,"","prj_9DLDDpkWSRdSJMazbYbyO2dqEsX1","","","01KAGP0VVRAVQCJAWZFVDQY9ZN","Mdf3pv5MDwST",1
"2025-11-20 13:07:23",1763644043029,"pms-5ompx1ego-jorge-arean-devs-projects.vercel.app/","GET","",200,"kwtmb-1763644042858-645fccd2bdf6","vercel-favicon/1.0","info","preview","dev","","edge-middleware","/middleware","pms-5ompx1ego-jorge-arean-devs-projects.vercel.app","pms-5ompx1ego-jorge-arean-devs-projects.vercel.app","dpl_AFcZmqL2Te7S9apkkVWZa4k31ALY",-1,"iad1",-1,-1,"","prj_9DLDDpkWSRdSJMazbYbyO2dqEsX1","","","01KAGP0VRP341N62KA8C7B1JNK","KHJxTRmXkjaf",-1
"2025-11-20 13:07:21",1763644041647,"pms-5ompx1ego-jorge-arean-devs-projects.vercel.app/","GET","",-1,"6mkhx-1763644039513-2b7c44f8d31f","vercel-favicon/1.0","error","preview","dev","","lambda","/","pms-5ompx1ego-jorge-arean-devs-projects.vercel.app","pms-5ompx1ego-jorge-arean-devs-projects.vercel.app","dpl_AFcZmqL2Te7S9apkkVWZa4k31ALY",-1,"iad1",-1,-1,"Error: Your project's URL and Key are required to create a Supabase client!

Check your Supabase project's API settings to find these values

https://supabase.com/dashboard/project/_/settings/api
    at <unknown> (https://supabase.com/dashboard/project/_/settings/api)
    at <unknown> (.next/server/chunks/ssr/_c0bdad64._.js:37:47511)
    at ci (.next/server/chunks/ssr/_c0bdad64._.js:41:5028)
    at async g (.next/server/chunks/ssr/[root-of-the-server]__bb31690c._.js:1:11917) {
  digest: '1022167162'
}","prj_9DLDDpkWSRdSJMazbYbyO2dqEsX1","","","01KAGP0SF371QGA5G1DVMXY7A7","",-1
"2025-11-20 13:07:20",1763644040675,"pms-5ompx1ego-jorge-arean-devs-projects.vercel.app/","GET","",500,"6mkhx-1763644039513-2b7c44f8d31f","vercel-favicon/1.0","error","preview","dev","","lambda","/","pms-5ompx1ego-jorge-arean-devs-projects.vercel.app","pms-5ompx1ego-jorge-arean-devs-projects.vercel.app","dpl_AFcZmqL2Te7S9apkkVWZa4k31ALY",706,"iad1",112,2048,"","prj_9DLDDpkWSRdSJMazbYbyO2dqEsX1","","","01KAGP0SF371QGA5G1DVMXY7A7","Mdf3pv5MDwST",1
"2025-11-20 13:07:19",1763644039714,"pms-5ompx1ego-jorge-arean-devs-projects.vercel.app/","GET","",200,"6mkhx-1763644039513-2b7c44f8d31f","vercel-favicon/1.0","info","preview","dev","","edge-middleware","/middleware","pms-5ompx1ego-jorge-arean-devs-projects.vercel.app","pms-5ompx1ego-jorge-arean-devs-projects.vercel.app","dpl_AFcZmqL2Te7S9apkkVWZa4k31ALY",-1,"iad1",-1,-1,"","prj_9DLDDpkWSRdSJMazbYbyO2dqEsX1","","","01KAGP0RH2A954TGZYGKN2STD5","KHJxTRmXkjaf",-1
